ID_Maintenance,Tanggal,ID_Mesin,Jenis_Maintenance,Durasi_Downtime_Menit,Keterangan
TRX-MTC-000060,2026-06-13,MC-009,Corrective,45,Perbaikan mendadak
TRX-MTC-000214,2026-06-13,MC-009,Preventive,130,Perbaikan mendadak
TRX-MTC-000249,2026-06-13,MC-012,Preventive,48,Kalibrasi sensor
TRX-MTC-000271,2026-06-13,MC-002,Breakdown,261,Getaran berlebih saat speed >1500rpm
TRX-MTC-000211,2026-06-13,MC-007,Preventive,33,Perbaikan mendadak
TRX-MTC-000046,2026-06-13,MC-003,Corrective,145,Penggantian sparepart rutin
TRX-MTC-000032,2026-06-14,MC-007,Preventive,76,Pembersihan unit
TRX-MTC-000252,2026-06-14,MC-002,Breakdown,183,Komponen press macet (high RPM)
TRX-MTC-000195,2026-06-15,MC-010,Preventive,47,Kalibrasi sensor
TRX-MTC-000036,2026-06-15,MC-002,Preventive,76,Inspeksi berkala
TRX-MTC-000167,2026-06-15,MC-014,Inspection,57,Penggantian sparepart rutin
TRX-MTC-000366,2026-06-15,MC-002,Breakdown,178,Overheat akibat kecepatan tinggi
TRX-MTC-000257,2026-06-16,MC-002,Breakdown,165,Overheat akibat kecepatan tinggi
TRX-MTC-000221,2026-06-16,MC-004,Preventive,121,Pelumasan
TRX-MTC-000154,2026-06-16,MC-005,Breakdown,138,Pelumasan
TRX-MTC-000039,2026-06-16,MC-011,Preventive,140,Inspeksi berkala
TRX-MTC-000155,2026-06-17,MC-011,Corrective,31,Perbaikan mendadak
TRX-MTC-000378,2026-06-17,MC-002,Breakdown,139,Komponen press macet (high RPM)
TRX-MTC-000233,2026-06-17,MC-005,Preventive,163,Pelumasan
TRX-MTC-000329,2026-06-17,MC-002,Breakdown,140,Komponen press macet (high RPM)
TRX-MTC-000019,2026-06-17,MC-002,Breakdown,145,Pelumasan
TRX-MTC-000164,2026-06-18,MC-003,Preventive,85,Inspeksi berkala
TRX-MTC-000369,2026-06-18,MC-002,Breakdown,136,Komponen press macet (high RPM)
TRX-MTC-000324,2026-06-18,MC-002,Breakdown,178,Overheat akibat kecepatan tinggi
TRX-MTC-000201,2026-06-19,MC-002,Inspection,107,Kalibrasi sensor
TRX-MTC-000253,2026-06-19,MC-002,Breakdown,157,Stop mendadak - speed tinggi
TRX-MTC-000006,2026-06-19,MC-012,Corrective,168,Inspeksi berkala
TRX-MTC-000010,2026-06-19,MC-004,Corrective,171,Pelumasan
TRX-MTC-000079,2026-06-19,MC-010,Corrective,72,Pelumasan
TRX-MTC-000268,2026-06-19,MC-002,Breakdown,232,Overheat akibat kecepatan tinggi
TRX-MTC-000325,2026-06-19,MC-002,Breakdown,148,Stop mendadak - speed tinggi
TRX-MTC-000248,2026-06-20,MC-003,Corrective,151,Kalibrasi sensor
TRX-MTC-000295,2026-06-20,MC-002,Breakdown,137,Overheat akibat kecepatan tinggi
TRX-MTC-000151,2026-06-20,MC-005,Preventive,152,Perbaikan mendadak
TRX-MTC-000269,2026-06-20,MC-002,Breakdown,226,Overheat akibat kecepatan tinggi
TRX-MTC-000365,2026-06-20,MC-002,Breakdown,270,Komponen press macet (high RPM)
TRX-MTC-000171,2026-06-21,MC-005,Corrective,74,Kalibrasi sensor
TRX-MTC-000048,2026-06-21,MC-008,Preventive,125,Kalibrasi sensor
TRX-MTC-000363,2026-06-22,MC-002,Breakdown,157,Stop mendadak - speed tinggi
TRX-MTC-000040,2026-06-22,MC-011,Preventive,141,Pembersihan unit
TRX-MTC-000052,2026-06-23,MC-003,Breakdown,154,Kalibrasi sensor
TRX-MTC-000077,2026-06-24,MC-010,Preventive,51,Inspeksi berkala
TRX-MTC-000113,2026-06-24,MC-007,Corrective,36,Inspeksi berkala
TRX-MTC-000203,2026-06-24,MC-001,Corrective,130,Pembersihan unit
TRX-MTC-000275,2026-06-25,MC-002,Breakdown,290,Getaran berlebih saat speed >1500rpm
TRX-MTC-000272,2026-06-25,MC-002,Breakdown,208,Komponen press macet (high RPM)
TRX-MTC-000051,2026-06-25,MC-001,Corrective,85,Perbaikan mendadak
TRX-MTC-000188,2026-06-25,MC-008,Preventive,36,Perbaikan mendadak
TRX-MTC-000011,2026-06-25,MC-007,Breakdown,87,Perbaikan mendadak
TRX-MTC-000300,2026-06-25,MC-002,Breakdown,174,Stop mendadak - speed tinggi
TRX-MTC-000284,2026-06-25,MC-002,Breakdown,251,Overheat akibat kecepatan tinggi
TRX-MTC-000135,2026-06-26,MC-008,Preventive,96,Inspeksi berkala
TRX-MTC-000156,2026-06-26,MC-006,Preventive,29,Pelumasan
TRX-MTC-000341,2026-06-26,MC-002,Breakdown,182,Stop mendadak - speed tinggi
